სათაური ქართულად,სათაური,სურათის URL
გენოციდის ორგანო,Genocidal Organ,https://animetv.night-city.online/uploads/posts/2021-08/1629390876_1ed931d9edf670aca54afca9b406af24.jpg
შენი აპრილის ტყუილი,Your Lie in April | Shigatsu wa Kimi no Uso,https://animetv.night-city.online/uploads/posts/2021-04/1617229823_10532053906334738410.jpg
დემონების მკვეთი ხმალი: უსასრულო მატარებელი,Kimetsu no Yaiba Movie: Mugen Ressha-hen | Demon slayer,https://animetv.night-city.online/uploads/posts/2021-08/1627990695_1627989426_11.jpg
ფერადი დღეები,Nijiiro Days,https://animetv.night-city.online/uploads/posts/2021-07/1625676163_poster.jpg
გარო - გაქრობის ხაზი,Garo: Vanishing Line,https://animetv.night-city.online/uploads/posts/2021-07/1627666812_011.jpg
დიდებული მატყუარა,Great Pretender,https://animetv.night-city.online/uploads/posts/2022-02/1645436991_1632399790_-.jpg
ჯეკი ჩანის თავგადასავალი,Jackie Chan Adventures,https://animetv.night-city.online/uploads/posts/2021-03/1616583832_1616583828.png
ჰორიმია,Horimiya,https://animetv.night-city.online/uploads/posts/2021-01/1610275764_1610148577_2-1.png
ჯუჯუცუ კაისენი,Jujutsu Kaisen,https://animetv.night-city.online/uploads/posts/2021-04/1617870809_1baeae02-b706-4962-9cef-b990e8539f2a.jpeg
ფრენბურთი!! მწვერვალისკენ,Haikyuu!!: To the Top,https://animetv.night-city.online/uploads/posts/2020-02/1580996198_2258.png
სისხლიანი ბლოკადის ფრონტი,Kekkai Sensen | Blood Blockade Battlefront,https://animetv.night-city.online/uploads/posts/2020-06/1593026779_blokadaaaa-poster.png
პრეზიდენტი მოახლედ!,Kaichou wa Maid-sama!,https://animetv.night-city.online/uploads/posts/2020-04/1586942925_-.png
"არამზადა, რომელსაც ბაჭია გოგონა არც კი დასიზმრებია",Rascal Does Not Dream of Bunny Girl Senpai no Yume wo Minai,https://animetv.night-city.online/uploads/posts/2020-10/1603463536_12038325741866996556.png
ტამაკოს სიყვარულის ისტორია,Tаmako Love Story,https://animetv.night-city.online/uploads/posts/2021-09/1632399894_-.jpg
მიტოვებული წმინდა მხეცები,To the abadoned sacred beasts,https://animetv.night-city.online/uploads/posts/2021-03/1616877782_ef5bcbee-49d0-43b2-b240-b414ca15bdec.png
Megalo Box,მეგალობოქსი,https://animetv.night-city.online/uploads/posts/2021-06/1623712022_nomad_mb2_keyart-724x1024-1.jpg
იმღერე ჩემთვის „გუშინ“,Yesterday wo Utatte,https://animetv.night-city.online/uploads/posts/2021-02/1613474915_1613474920.jpg
შვიდი მომაკვდინებელი ცოდვა,Nanatsu no taizai | 7 deadly sins,https://animetv.night-city.online/uploads/posts/2021-01/1611224810_33be091a-1b4e-4a3e-a4aa-693a852d1b64.png
საგა ვინლანდიაზე,Vinland saga,https://animetv.night-city.online/uploads/posts/2019-09/1568041272_151.jpg
იკებუკურო დასავლეთ კარიბჭის პარკი,ikebukuro west gate park,https://animetv.night-city.online/uploads/posts/2021-09/1632400008_-.jpg
ჰონობონოს ჟურნალი,Honobono Log,https://animetv.night-city.online/uploads/posts/2021-06/1623433308_honobono-log.png
ოცნების გუნდი,Ahiru no Sora,https://animetv.night-city.online/uploads/posts/2020-04/1585908845_etzegjrxsai7diy.png
სისხლიანი ბიჭუნა,Blood Lad,https://animetv.night-city.online/uploads/posts/2020-07/1594468225_f38be96b-cfab-4c97-93cf-7dd0adfecace.jpeg
Yasuke,Yasuke,https://animetv.night-city.online/uploads/posts/2021-11/1637582544_-.jpg
ჯუჯუცუ კაისენი: ფილმი,Jujutsu Kaisen: Movie,https://animetv.night-city.online/uploads/posts/2021-04/1617871029_7b63483e-717e-4df5-af2e-44a7afbfebe0.jpeg
Dota - დრაკონის სისხლი,Dota: Dragon's Blood,https://animetv.night-city.online/uploads/posts/2021-04/1617295135_06257470023179493120.jpg
შავი კლოვერი,Black Clover,https://animetv.night-city.online/uploads/posts/2021-03/1617110510_91n3qf9yarl__ac_sl1500_1.jpg
აია და ჯადოქარი,Aya to Majo,https://animetv.night-city.online/uploads/posts/2021-01/1611321625_1611321604.jpg
მთვარესავით მშვენიერი,Tsuki ga Kirei,https://animetv.night-city.online/uploads/posts/2019-01/1547142116_94.jpg
ერთადერთი ხარ ვისაც მოვწონვარ?,Oresuki,https://animetv.night-city.online/uploads/posts/2020-12/1608580075_e2210dcc-428c-4c53-bdb9-329d5b001950.png
მილიონერი დეტექტივი,The Millionaire Detective,https://animetv.night-city.online/uploads/posts/2020-07/1593554740_408a9ab2-09a3-4552-b1b3-2a3f82319e6d.jpeg
სოულ ითერი,Soul Eater,https://animetv.night-city.online/uploads/posts/2021-09/1632399711_-.jpg
პრომერი/Promare,Promare,https://animetv.night-city.online/uploads/posts/2021-02/1613418395_151139880_417770462649105_1725380322001542535_n.jpg
"არამზადა, რომელსაც მეოცნებე გოგონა არც კი დასიზმრებია",Rascal Does Not Dream of a Dreaming Girl,https://animetv.night-city.online/uploads/posts/2021-02/1612637775_4185ba51-0dc7-4ef5-ad51-9a27d417111c.jpeg
ზეცა სადაც ვარსკვლავები შეიკრიბნენ,Hoshiai no Sora | Stars Align,https://animetv.night-city.online/uploads/posts/2021-01/1611510370_-.jpg
გამარჯობა მსოფლიო,Hello World,https://animetv.night-city.online/uploads/posts/2021-01/1611910791_222.png
Gurren Lagann,Tengen Toppa Gurren Lagann,https://animetv.night-city.online/uploads/posts/2020-03/1583869310_1002665141.jpg
დიდგვაროვანი,Noblesse,https://animetv.night-city.online/uploads/posts/2020-10/1602265421_890.jpg
შარლოტა ოვა,Charlotte: OVA,https://animetv.night-city.online/uploads/posts/2021-11/1637581519_-.jpg
სხვა სახეობის არსება,Brand New Animal,https://animetv.night-city.online/uploads/posts/2020-11/1605560998_-.png
სტრაიდის პრინცი,prince of stride,https://animetv.night-city.online/uploads/posts/2021-12/1639326583_-.png
აკუდამა დრაივი,Akudama Drive,https://animetv.night-city.online/uploads/posts/2020-10/1602347087_akudama-drive.webp
არტე,Arte,https://animetv.night-city.online/uploads/posts/2020-04/1586197570_5d3704e505d5c1.jpg
დაწვი ჯადოქარი,Burn the Witch,https://animetv.night-city.online/uploads/posts/2022-01/1642675962_-.jpg
უმაღლესი სკოლის ღმერთი,The God of High School,https://animetv.night-city.online/uploads/posts/2020-07/1593596429_d6d6c1123807a789458700f470be0062-1.webp
D.Gray-Man,დ.გრეი-მენ გრეი-მენი,https://animetv.night-city.online/uploads/posts/2019-01/1547142395_10.jpg
ბრძანება რომელმაც სამყარო შეცვალა,big order,https://animetv.night-city.online/uploads/posts/2021-09/1632399685_-.jpg
ჩემი საგმირო აკადემია: გმირთა აღზევება,Boku no Hero Academia the Movie 2: Heroes:Rising,https://animetv.night-city.online/uploads/posts/2022-02/1645436603_1630161729_1.jpg
ნული და პეტა,Null Peta,https://animetv.night-city.online/uploads/posts/2020-07/1595434090_ewgnzdr.jpg
ამინდის გოგონა,Weathering with you,https://animetv.night-city.online/uploads/posts/2021-12/1639326390_-.png
ღმერთის კოშკი,Tower Of God,https://animetv.night-city.online/uploads/posts/2020-04/1585839699_sssssssdewf.jpg
სამეჯლისო დარბაზი იოუკოსო,BALLROOM E YOUKOSO,https://animetv.night-city.online/uploads/posts/2019-01/1547144068_92.jpg
კოსმოსში დაკარგული ასტრა,Astra Lost in Space,https://animetv.night-city.online/uploads/posts/2020-04/1585946064_1585946069.png
მირაი,Mirai,https://animetv.night-city.online/uploads/posts/2019-03/1551638276_2019-03-03_103520.jpg
უკვდავი მეფის ყოველდღიური ცხოვრება,The Daily Life Of The Immortal King,https://animetv.night-city.online/uploads/posts/2020-03/1584128193_1584128180.jpg
მრისხანე იამა,The Furious Yama,https://animetv.night-city.online/uploads/posts/2020-03/1585671405_-.png
მყუდრო კარავი,Yuru Camp,https://animetv.night-city.online/uploads/posts/2019-01/1547145385_29.jpg
ID: შეჭრა,ID:Invaded,https://animetv.night-city.online/uploads/posts/2020-03/1583438257_poster.png
დიდებული მაწანწალა ძაღლები,Bungo Stray Dogs | Literary Stray Dogs,https://animetv.night-city.online/uploads/posts/2019-01/1547744820_anime_key2.jpg
დარვინის თამაში,Darwin's Game,https://animetv.night-city.online/uploads/posts/2020-02/1581083069_27364324652262930010.jpeg
Death Note - დამატებითი ეპიზოდი - 2020,,https://animetv.night-city.online/uploads/posts/2020-03/1583596433_01.jpg
შეიგრძენი ქარი S1,Kaze ga Tsuyoku Fuite Iru,https://animetv.night-city.online/uploads/posts/2019-09/1567798646_untitled-1.jpg
ცხოვრება იარაღის გარეშე,No gun life,https://animetv.night-city.online/uploads/posts/2019-10/1570786326_nogunslife_2.jpg
დოქტორი სთოუნი - ქვის მეცნიერი,Dr. Stone,https://animetv.night-city.online/uploads/posts/2019-07/1561996148_eqimi-stouni.jpg
DanMachi,,https://animetv.night-city.online/uploads/posts/2019-01/1547145147_141.jpg
ტიტანების შემოტევა,Shingeki no Kyojin | Attack on Titan,https://animetv.night-city.online/uploads/posts/2019-04/1556486413_121.jpg
შიკი (ცხედარი),Shiki,https://animetv.night-city.online/uploads/posts/2019-04/1555693571_1222.png
სამურაი 8 - ჰაშიმარუს ისტორია,,https://animetv.night-city.online/uploads/posts/2019-04/1556190940_01.jpg
ბორუტო,Boruto,https://animetv.night-city.online/uploads/posts/2019-01/1547143751_77.jpg
ჩემი საგმირო აკადემია: ორი გმირი,Boku no Hero Academia the Movie: Futari no Hero,https://animetv.night-city.online/uploads/posts/2022-02/1645436715_1630161532_123.jpg
91 დღე,91 Days,https://animetv.night-city.online/uploads/posts/2019-01/1547144888_112.jpg
შვიდი მომაკვდინებელი ცოდვა OVA,Nanatsu no Taizai,https://animetv.night-city.online/uploads/posts/2019-01/1547142478_22.jpg
ვაიოლეტ ევერგარდენი,Violet Evergarden,https://animetv.night-city.online/uploads/posts/2019-01/1547145436_30.jpg
ტიტანების შემოტევა S2-OVA (16+),Attack on titan,https://animetv.night-city.online/uploads/posts/2019-01/1547142572_31.jpg
უბრალოდ იმიტომ!,Just because,https://animetv.night-city.online/uploads/posts/2019-01/1547143158_51.jpg
საძმო - საბოლოო ფანტაზია XV,Brotherhood - Final fantasy,https://animetv.night-city.online/uploads/posts/2019-01/1547143158_52.jpg
ბნელეთის ბატონი სამუშაოზე!,Hataraku Maou-sama!,https://animetv.night-city.online/uploads/posts/2019-01/1547143392_62.jpg
Chain Chronicle: Haecceitas no Hikari,,https://animetv.night-city.online/uploads/posts/2019-01/1547143566_65.jpg
Sword Art Online Movie: Ordinal Scale,,https://animetv.night-city.online/uploads/posts/2019-01/1547143585_66.jpg
დიდი თევზი და ბეგონია,Big fish and begonia,https://animetv.night-city.online/uploads/posts/2019-01/1547143536_68.jpg
კუროკოს კალათბურთი - ბოლო თამაში,Kuroko no Basket Movie 4: Last Game,https://animetv.night-city.online/uploads/posts/2019-01/1547143563_70.jpg
შარლოტა,Charlotte,https://animetv.night-city.online/uploads/posts/2021-11/1637581530_-.jpg
შვიდი მომაკვდინებელი ცოდვა - წმინდა ომის ნიშნები,Nanatsu no taizai | 7 deadly sins,https://animetv.night-city.online/uploads/posts/2021-09/1632402609_-.jpg
პარაზიტი,Parasyte: The Maxim,https://animetv.night-city.online/uploads/posts/2019-01/1547143851_83.jpg
რკინის ციხესიმაგრის კაბანერები,Kabaneri of the iron fortress,https://animetv.night-city.online/uploads/posts/2019-01/1547143890_84.jpg
ჩვენ ყოველთვის 10 სმ. გვაშორებდა,Itsudatte Bokura no Koi wa 10 cm Datta.,https://animetv.night-city.online/uploads/posts/2019-01/1547143952_88.jpg
ომი მეთორმეტე,Juuni Taisen,https://animetv.night-city.online/uploads/posts/2019-01/1547143942_89.jpg
შავი კლოვერი OVA,Black clover,https://animetv.night-city.online/uploads/posts/2019-01/1547144031_95.jpg
Phantom of the Kill - Zero's Rebellion,,https://animetv.night-city.online/uploads/posts/2019-01/1547144132_120.jpg
Tokyo Ghoul,Токийский Гуль,https://animetv.night-city.online/uploads/posts/2019-01/1547144164_48.jpg
მობ ფსიქო 100,Mob Psycho 100,https://animetv.night-city.online/uploads/posts/2019-01/1547144202_98.jpg
მზე წვიმისას,Sonny Boy & Dewdrop Girl,https://animetv.night-city.online/uploads/posts/2019-01/1547144197_99.jpg
